Previous.National.Ranking,Name,Hometown,Position,Height.Weight,Rating,All Ratings,National.Ranking,Position.Ranking,State.Ranking,player.id,bball.ref.link
1,Davis Mills," Greater Atlanta Christian School (Norcross, GA)  ", PRO , 6-3 / 192 ,0.9918, 15 1 1 ,15,1,1,davis-mills,https://www.sports-reference.com/cfb/players/davis-mills-1.html
4,Hunter Johnson," Brownsburg (Brownsburg, IN)  ", PRO , 6-2 / 201 ,0.9854, 30 2 1 ,30,2,1,hunter-johnson,https://www.sports-reference.com/cfb/players/hunter-johnson-1.html
2,Tua Tagovailoa," St. Louis (Honolulu, HI)  ", DUAL , 6-1 / 212 ,0.9843, 32 1 1 ,32,1,1,tua-tagovailoa,https://www.sports-reference.com/cfb/players/tua-tagovailoa-1.html
3,Jake Fromm," Houston County (Warner Robins, GA)  ", PRO , 6-1.25 / 229 ,0.9794, 44 3 4 ,44,3,4,jake-fromm,https://www.sports-reference.com/cfb/players/jake-fromm-1.html
5,Tate Martell," Bishop Gorman (Las Vegas, NV)  ", DUAL , 5-10.5 / 203 ,0.9739, 56 2 2 ,56,2,2,tate-martell,https://www.sports-reference.com/cfb/players/tate-martell-1.html
8,Jack Sears," San Clemente (San Clemente, CA)  ", PRO , 6-3 / 200 ,0.9516, 105 4 13 ,105,4,13,jack-sears,https://www.sports-reference.com/cfb/players/jack-sears-1.html
14,Kellen Mond," IMG Academy (San Antonio, TX)  ", DUAL , 6-2.5 / 201 ,0.9498, 108 3 20 ,108,3,20,kellen-mond,https://www.sports-reference.com/cfb/players/kellen-mond-1.html
10,Sam Ehlinger," Westlake (Austin, TX)  ", DUAL , 6-1.5 / 215 ,0.9446, 119 4 19 ,119,4,19,sam-ehlinger,https://www.sports-reference.com/cfb/players/sam-ehlinger-1.html
9,Dylan McCaffrey," Valor Christian (Littleton, CO)  ", PRO , 6-5 / 196 ,0.9435, 123 5 2 ,123,5,2,dylan-mccaffrey,https://www.sports-reference.com/cfb/players/dylan-mccaffrey-1.html
6,Myles Brennan," St Stanislaus (Bay Saint Louis, MS)  ", PRO , 6-3 / 180 ,0.9347, 152 6 4 ,152,6,4,myles-brennan,https://www.sports-reference.com/cfb/players/myles-brennan-1.html
17,Chris Robison," Horn (Mesquite, TX)  ", PRO , 6-2 / 192 ,0.9272, 172 7 30 ,172,7,30,chris-robison,https://www.sports-reference.com/cfb/players/chris-robison-1.html
7,Keytaon Thompson," Landry-Walker (New Orleans, LA)  ", DUAL , 6-4 / 225 ,0.9258, 176 5 7 ,176,5,7,keytaon-thompson,https://www.sports-reference.com/cfb/players/keytaon-thompson-1.html
20,Sean Clifford," St. Xavier (Cincinnati, OH)  ", PRO , 6-2 / 210 ,0.9223, 196 8 7 ,196,8,7,sean-clifford,https://www.sports-reference.com/cfb/players/sean-clifford-1.html
13,Shawn Robinson," DeSoto (DeSoto, TX)  ", DUAL , 6-2 / 215 ,0.9222, 198 6 32 ,198,6,32,shawn-robinson,https://www.sports-reference.com/cfb/players/shawn-robinson-1.html
18,N'Kosi Perry," Vanguard (Ocala, FL)  ", DUAL , 6-3.5 / 176 ,0.9218, 199 7 30 ,199,7,30,n'kosi-perry,https://www.sports-reference.com/cfb/players/n'kosi-perry-1.html
27,Tristan Gebbia," Calabasas (Calabasas, CA)  ", PRO , 6-3 / 180 ,0.9217, 200 9 22 ,200,9,22,tristan-gebbia,https://www.sports-reference.com/cfb/players/tristan-gebbia-1.html
21,Kasim Hill," St. John's College HS (Washington, DC)  ", PRO , 6-3 / 215 ,0.911, 233 10 2 ,233,10,2,kasim-hill,https://www.sports-reference.com/cfb/players/kasim-hill-1.html
23,Avery Davis," Cedar Hill (Cedar Hill, TX)  ", DUAL , 5-11 / 192 ,0.9078, 246 8 40 ,246,8,40,avery-davis,https://www.sports-reference.com/cfb/players/avery-davis-1.html
25,Lowell Narcisse," St. James (Saint James, LA)  ", DUAL , 6-2.5 / 224 ,0.9041, 261 9 10 ,261,9,10,lowell-narcisse,https://www.sports-reference.com/cfb/players/lowell-narcisse-1.html
33,Bailey Hockman," McEachern (Powder Springs, GA)  ", PRO , 6-2 / 192 ,0.8992, 280 11 28 ,280,11,28,bailey-hockman,https://www.sports-reference.com/cfb/players/bailey-hockman-1.html
35,Braxton Burmeister," La Jolla Country Day (La Jolla, CA)  ", DUAL , 6-0.5 / 196 ,0.8941, 305 10 32 ,305,10,32,braxton-burmeister,https://www.sports-reference.com/cfb/players/braxton-burmeister-1.html
22,Chase Garbers," Corona Del Mar (Newport Beach, CA)  ", PRO , 6-3 / 205 ,0.8926, 315 12 34 ,315,12,34,chase-garbers,https://www.sports-reference.com/cfb/players/chase-garbers-1.html
15,Tommy Devito," Don Bosco Prep (Ramsey, NJ)  ", PRO , 6-2 / 193 ,0.8915, 327 13 7 ,327,13,7,tommy-devito,https://www.sports-reference.com/cfb/players/tommy-devito-1.html
12,Hendon Hooker," Dudley (Greensboro, NC)  ", DUAL , 6-4 / 204 ,0.8903, 337 11 7 ,337,11,7,hendon-hooker,https://www.sports-reference.com/cfb/players/hendon-hooker-1.html
45,Ryan Kelley," Basha (Chandler, AZ)  ", PRO , 6-3 / 188 ,0.8868, 359 14 4 ,359,14,4,ryan-kelley,https://www.sports-reference.com/cfb/players/ryan-kelley-1.html
34,Danny Clark," Archbishop Hoban (Massillon, OH)  ", PRO , 6-4 / 223 ,0.8838, 382 15 18 ,382,15,18,danny-clark,https://www.sports-reference.com/cfb/players/danny-clark-1.html
11,James Blackman," Glades Central (Belle Glade, FL)  ", PRO , 6-5 / 163 ,0.8823, 389 16 49 ,389,16,49,james-blackman,https://www.sports-reference.com/cfb/players/james-blackman-1.html
26,Chase Brice," Grayson (Loganville, GA)  ", PRO , 6-2 / 207 ,0.8818, 393 17 40 ,393,17,40,chase-brice,https://www.sports-reference.com/cfb/players/chase-brice-1.html
29,Mac Jones," The Bolles School (Jacksonville, FL)  ", PRO , 6-2 / 180 ,0.8815, 399 18 52 ,399,18,52,mac-jones,https://www.sports-reference.com/cfb/players/mac-jones-1.html
